contact_id,firstname,lastname,contacttype,jobtitle,mosid,commission,school,languagename,gender,environment,shortname
+ki8nak3jsCCYO8CKchGvHw5SGXfLncykYxt4NND6xwAAK8/AXjBjw==,Cynthia,Ahn,NULL,CRMN,5,NCM,RCACS,English,Male,Army,Pte(B)
+l3okhRM0YC7UlIxxvO83ZhtXleAUG1YroF12SbeU74AAK8/AXj7Mw==,Jennifer,Thomas,NULL,GNR,368,NCM,RCA School,French,Male,Army,WO
+L8L6HcsguupeWh7u4Yrmqz37rbXU2zZ5XxRZmjzwgoAAK8/AXjBnw==,Benito,Lagnese,NULL,ARTY,179,Officer,RCA School,English,Male,Army,2Lt
+lYLW82lOKyrdyjtlOb/vbJg5RMMaXtk8RngBRPmVmYAAK8/AXjBkA==,John,Nowlin,NULL,CRMN,5,NCM,RCACS,English,Male,Army,Pte(B)
+M7N4T7P05rZk9VYVzYihmO3TmOxetH+Hs+xW2nkihkAAK8/AXj7Ng==,Alberta,Peer,NULL,VEH TECH,129,NCM,RCEMES,English,Male,Army,Pte(B)
+mBN7ayFNksMeRJ7VXF4XDZ5x4QYLGorRjuAHNbUhvYAAK8/AXf/bQ==,Elizabeth,Martin,NULL,ATIS TECH,109,NCM,CFSCE,English,Male,Air,Pte(B)
+MtfSahtLrMBqm+LMPQcyCskGihT5J+S3sFl/+9qKKAAAK8/AXiG6Q==,Lawrence,Mitchell,NULL,CBT ENGR,339,NCM,CFSME,English,Male,Army,Sgt
+n5ru8TQw3gntC++WdC9XQbsljBC15Tiej/ZWwWSeugAAK8/AXjBjA==,Anne,Graham,NULL,CRMN,5,NCM,RCACS,French,Male,Army,Cpl
+NDo6QZ5GcoMC6guEZgBsvPNV/vrSiOW3IrMvM6uO/QAAK8/AXiG8g==,Paul,Rockmore,NULL,INF,180,Officer,INF School,French,Male,Army,Capt
+NjLuiHryJJ/DWRzPGI3LPBfnO+2RKkSqw5sWl+APBUAAK8/AXj7NQ==,Anita,Bond,NULL,ARTY,179,Officer,RCA School,English,Male,Army,2Lt
+oCRJpE8v8fFkzYOWb4EvjVQ5DAOCC7oNN016jnTLc4AAK8/AXf/dw==,Amy,Trinh,NULL,SIG OP,383,NCM,CFSCE,French,Male,Army,Pte(B)
+oOwR5Tan8UJrNax7Mpp11YB/s2Zv1Nj9IjufNnDZrgAAK8/AXiG7w==,Dale,Schroeder,NULL,INF,180,Officer,INF School,English,Male,Army,2Lt
+oVZnWxOXiuDfLvu6cCVbl3FJPMdClLCQS99OUf85g0AAK8/AXjBlA==,Nicholas,Parsons,NULL,CRMN,5,NCM,RCACS,English,Male,Army,WO
+r6bl3vHb29dwzYMgTlaJCwZ+K/2Dl/MFmhpW+BBbQUAAK8/AXf/cA==,Martha,Wolf,NULL,SIG TECH,385,NCM,CFSCE,English,Male,Army,WO
+RBqnY19o90eR/TrWJy8W3LapZkH72Z1A2fAASjOI1sAAK8/AXjBpA==,Justin,Martinez,NULL,GNR,368,NCM,RCA School,English,Male,Army,Pte
+SSFBk8riPpKyn18TZZH5H/mhK8E0cK/DV4YejSVdV0AAK8/AXj7OA==,Maria,Hammond,NULL,VEH TECH,129,NCM,RCEMES,French,Male,Army,Pte(B)
+SzI2BOXpdMerm6QtyLwpTDIA37L1RX/2RNPsHTv8XoAAK8/AXf/cg==,Jeanne,Jones,NULL,LINE TECH,384,NCM,CFSCE,English,Male,Army,Sgt
+ta0+C0tV3+09OGXaAgwzQ2u0B6b74KheZLPQBOAyW0AAK8/AXiG2w==,Kevin,Christopher,NULL,SIGINT,120,NCM,CFSCE,English,Male,Army,Pte
+UL5Mt78KG/6lsUFC9PbDYi5LvORTYkJY2bOJo0k9xEAAK8/AXjBmg==,Joan,Hunt,NULL,CRMN,5,NCM,RCACS,English,Male,Army,Pte(B)
+uTl90Vp0t1toLGyBTTEPc7rUUgj1q9eRGylhzRJdNwAAK8/AXjBmQ==,Judy,Stanley,NULL,CRMN,5,NCM,RCACS,English,Female,Army,Cpl
+wvg+/mHrYwi1Zf5epj1l2E/fLxStoieiMqbwhRGLPgAAK8/AXf/bA==,Maria,Phillips,NULL,HRA,375,NCM,CFSCE,French,Male,Army,Pte(B)
+yr9jLNZ8GcRSAHEpyVWAVZrl2pWOntNPvfyb2wQHAUAAK8/AXjBng==,Diane,Kennard,NULL,ARTY,179,Officer,RCA School,English,Male,Army,Capt
+YU4XKFO3KbR7rvJC7gVRca8qQS+HJ2PTG0fKpG7NtMAAK8/AXj7Pg==,Willie,Blair,NULL,VEH TECH,129,NCM,RCEMES,English,Male,Army,Pte(B)
+yU8JNAsuD8GTMuTAuZ1QWuuinMA7a5QzBln4G68728AAK8/AXf/bA==,Georgia,Kimbrell,NULL,INFTR,10,NCM,CFSCE,French,Male,Army,Pte(B)
+yW+nKZB7PkPVeo+xR4azdD/ZYD7KkTMToTvyqyqX+oAAK8/AXf/ag==,Wesley,Hatton,NULL,SIGS,341,Officer,CFSCE,French,Male,Army,2Lt
+ZJIH5xEd1PRIA4gQGHpFr8U048my09LepZlnNYG53YAAK8/AXf/cg==,Nicole,Flakes,NULL,SIG OP,383,NCM,CFSCE,English,Male,Army,Pte(B)
+zMVy9IUrpvqPUnq+FRuWqiFf32D8i0FsaMfkS+O4W8AAK8/AXf/bg==,Jerome,Tinsley,NULL,SIGS,341,Officer,CFSCE,English,Male,Air,Maj
+zyJjdk/Z2Mo6ATFZTL8GtGPKIOZVFfQc7MXVn4kCzAAAK8/AXf/Yw==,Sammie,Bailey,NULL,SIGINT,120,NCM,CFSCE,English,Male,Army,Pte(B)
/+l/wlm6IqHdeBK0UsqmV99gvI+A9fnd4kn+xqgogOEAAK8/AXjBlA==,Timothy,Ousley,NULL,CRMN,5,NCM,RCACS,English,Male,Army,Pte(B)
/2/3Kq3eMSCVSg+d7a8ItcPaP6RQt+J9xh2rkeyXQHUAAK8/AXjBng==,William,Reeves,NULL,GNR,368,NCM,RCA School,English,Male,Army,WO
/20VWWzZ16JxQNArYsf/tnpN+RPYadZDwADRBVFhnZ4AAK8/AXiG2w==,Mckenzie,Ngo,NULL,CBT ENGR,339,NCM,CFSME,English,Male,Air,Pte(B)
/6JpMDiJvncJluQYruZNRKrx8ejVmqeYTTXWm0hPG4gAAK8/AXf/Yw==,Michael,Sumpter,NULL,SIG OP,383,NCM,CFSCE,French,Male,Army,Pte(B)
/8MJPdXQUsyHFzOwcJQKs4C1pryf/l5HRrpDx3/JgbcAAK8/AXjBow==,Charles,Mcneill,NULL,GNR,368,NCM,RCA School,French,Male,Army,Pte(R)
/8z45uUCyEGR62fkDTIVmzh+FlpIQ9wfl41QmfafPGwAAK8/AXjBiA==,Shawn,Long,NULL,INF,180,Officer,INF School,French,Male,Army,Capt
/ANH53En02yEmAurwuxfl2c3lg2I6Sq926LoK6YAFBoAAK8/AXf/bQ==,Michael,Yancy,NULL,ACISS,362,NCM,CFSCE,English,Male,Army,Pte(B)
/bBU2lpduE5BwIdGZocuL2FObmGIwGtYrRq0ENoLeMYAAK8/AXjBow==,Jessica,Sullivan,NULL,GNR,368,NCM,RCA School,English,Male,Army,WO
/bRN8uHrSYqIM5RY+Stj6djcnc4EIdjW2oKHKTCxuiUAAK8/AXf/dw==,Jennifer,Hinton,NULL,SIGS,341,Officer,CFSCE,English,Male,Air,2Lt
/BTMeGYSHWzBhH7cJR33FH02RSV3YdS/aOyBSbs41NMAAK8/AXjBmg==,Forrest,Batiste,NULL,CRMN,5,NCM,RCACS,English,Female,Army,Pte(B)
/Bu+++E4jSjp+u7QPnUceX+IDkLPXG6x9CwjfOPMhvUAAK8/AXj7PA==,Ora,Fields,NULL,EO TECH,NULL,NCM,RCEMES,English,Male,Army,Pte(B)
/c3iHGdcEl1g6Wglsx7d8GooLnFg/e0osOf0lvRQ+P0AAK8/AXiG+g==,Jennette,Norman,NULL,INFTR,10,NCM,INF School,French,Male,Army,WO
/c3kMMeg3C1wL6bHoQHyrU6lr/1F230zcU01PAh4VMgAAK8/AXjBjw==,Terry,Ohara,NULL,ARMD,178,Officer,RCACS,English,Male,Army,2Lt
/Dg+A+J1QTdMIeY57qC2/h04tax13xr4TXTPGyFnoJQAAK8/AXiG6g==,Mary,Lee,NULL,INFTR,10,NCM,CTCHQ,English,Female,Army,Sgt
/dl1MMlJ2m7IUkrmb7dp64oeHSSPjulbuJkkZmPVag0AAK8/AXjBpA==,Abe,Beal,NULL,GNR,368,NCM,RCA School,French,Male,Army,WO
/Dm2kC8P8KpZZnuH3SS7hEdx/REMakeIRG53ds1nX7UAAK8/AXf/aQ==,Dorothy,Drees,NULL,IS TECH,394,NCM,CFSCE,English,Male,Air,Pte(B)
/DRWVlaHsnRNi06EEO1YSADTG9/y1w2GtLlSbduvGisAAK8/AXf/bQ==,Candy,Welk,NULL,SIGS,341,Officer,CFSCE,English,Male,Army,Capt
/EzmrKhiDIHxcaB1CFdLeOu60Hl0Tpj11b95EdBj/b4AAK8/AXf/dg==,Mabel,Clowers,NULL,SIGS,341,Officer,CFSCE,English,Male,Army,2Lt
/Ff8NwzERD5nducmG0N9kTdco08raGEafh3ob+LM+6gAAK8/AXjBlA==,Karl,Titus,NULL,ARMD,178,Officer,RCACS,English,Male,Army,2Lt
/fhhcWquzPpicsdKNovyOUl9JqVsvgACmwYC24CiUr0AAK8/AXf/ag==,Antoinette,Hurley,NULL,SIG TECH,385,NCM,CFSCE,English,Male,Air,Pte(B)
/GN1KV9t90npITST4HURYOwQMTNncq5Bz5SmIGpOmywAAK8/AXf/eQ==,Wesley,Brown,NULL,LINE TECH,384,NCM,CFSCE,French,Male,Army,Pte(B)
/HfwdQ4qT0l/Fg2FmrfUy+8fKA4IH9bYltTyeQmYUOQAAK8/AXiG5Q==,Allen,Miranda,NULL,HRA,375,NCM,CFSME,French,Male,Army,Pte(B)
/hj880RWAoTZHr86dlSDvrI31Z1631/G7m2rnvtsOa0AAK8/AXf/Xw==,Florence,Stalker,NULL,ADS TECH,387,NCM,CAAWC,English,Male,Army,WO
/iL8vSpPTKdawfHMfiUrBoHyOC+1+SdLR+3lITGXCGIAAK8/AXj7QA==,Eleanor,Bell,NULL,EME,187,Officer,RCEMES,English,Female,Army,2Lt
/IRYraK+cc7VaKRDuHViGCEGT+JjcI4JsvaBmx0rfBoAAK8/AXf/eA==,Margaret,Koelling,NULL,IS TECH,394,NCM,CFSCE,English,Male,Army,WO
/IXsD/8U4oIGaTjIdtVFsW2ZprWHZ8VDu3QfBm7JTucAAK8/AXiG5A==,Juan,Turkel,NULL,CBT ENGR,339,NCM,CFSME,French,Male,Army,Pte(B)
/IzGn0z3ESY1TU3mKDAiZtfEpy0OjAvaWDFt8XYluN0AAK8/AXiG6Q==,Gerald,Huber,NULL,CBT ENGR,339,NCM,CFSME,English,Male,Air,Cpl
/J+XmUeVlwSa1kIGYH6g25vskovyPoyedGwL7VzYjYMAAK8/AXj7NQ==,Linda,Dejesus,NULL,GNR,368,NCM,RCA School,English,Male,Army,Pte(B)
/j/5Fv5gk+P6niERB2H3qsEou/6OgAbraJpA3iiBcdMAAK8/AXiG7g==,Troy,Jefcoat,NULL,INFTR,10,NCM,INF School,English,Male,Army,WO
/J7hPCAye7UH3XsSzNK9I1w2WBFFOHXq/654ZTDhPR8AAK8/AXjBkA==,Christine,Leija,NULL,CRMN,5,NCM,RCACS,English,Male,Army,WO
/jefljRJ76vYPYh/mgD/P5uO2mghvN9sq+I4z+SeGjYAAK8/AXjBiA==,Pamela,Dewitt,NULL,INF,180,Officer,INF School,French,Male,Army,2Lt
/jyFbSVB4GMAWpVls9hD5vzbyEuKPwpPODJys9BFNpkAAK8/AXiG3Q==,Cynthia,Powell,NULL,CBT ENGR,339,NCM,CFSME,English,Male,Army,Pte(B)
/kQfQqajUki1oOxBRVO/qWBQ+ZJaxoWW3vKf7SEWk2cAAK8/AXj7OA==,Kathleen,Hill,NULL,W TECH L,130,NCM,RCEMES,French,Male,Army,Pte(B)
/kSSb2vMO3ULIMtmoG2cptp+2YXzeWb4Fj3m9rPYCDEAAK8/AXjBkQ==,Steven,Reynolds,NULL,CRMN,5,NCM,RCACS,English,Male,Army,Pte(B)
/MA5imti+YupTxafcX+gsW54tAB2LoMWlkPTaAZJ/NgAAK8/AXf/YQ==,Jeffrey,Johnson,NULL,CRMN,5,NCM,CATEU,English,Male,Army,MCpl
/n3aKAXCEx2X44fqbpBZM4N1Rpe31In5NREN6gu1X0gAAK8/AXjBiA==,Loretta,Duran,Student,INFTR,10,NCM,INF School,English,Male,Army,Pte(B)
/n8zHiHQCT1ZdnuyVzRIAPMWRMQynwK4qiwDl3vwmQ4AAK8/AXj7Nw==,Pamela,Rozanski,NULL,LEET,388,NCM,RCEMES,English,Male,Army,Pte(B)
/NBOPvOiVPJhgIb65DAPpN0gQBabJuJAN9g+UMNJDEoAAK8/AXf/cA==,Ismael,Williams,NULL,SIG TECH,385,NCM,CFSCE,English,Male,Army,Sgt
/ngvUTbO9RBO21IQdQl8M03UR7nnnLe37KM0KWI00CIAAK8/AXiG7w==,Maria,Marquez,NULL,INFTR,10,NCM,INF School,French,Male,Army,Sgt
/o9G+bH8m/28gVsZRBVYAiL/DW+J3PbeZxmc6zlE4WAAAK8/AXjBiw==,Miriam,Conner,NULL,CRMN,5,NCM,RCACS,English,Male,Army,Pte(B)
/OCYyMKLYB09bxA18DfovnDI6GJr1Mrkzpqtxt1aXUwAAK8/AXj7OA==,Brian,Moya,NULL,EO TECH,NULL,NCM,RCEMES,English,Male,Army,Pte(B)
/oDnbrqiRpEA7YFnOFp3InzgMc8I7GkcGF3GOM0CRiYAAK8/AXiG+A==,Phyllis,Macdonald,NULL,INFTR,10,NCM,INF School,English,Male,Army,Cpl
/q335fRDenl4qS/0GeXDNCgWZUEAgRTn5dSQMkhptOIAAK8/AXj7PQ==,Rebecca,Miller,NULL,VEH TECH,129,NCM,RCEMES,English,Male,Army,MCpl
/qFP9QBR7T6Hyw/9zM8DdN7oxOfa5w34/QRzAG6YHV0AAK8/AXf/Yw==,Patricia,Smith,NULL,SIG OP,383,NCM,CFSCE,English,Male,Army,Pte(B)
/qpxn5gDhZjU5NFT7/UfYGyGw3FjsR6pDr61nBj0MQsAAK8/AXf/aA==,Sofia,Jones,NULL,MAT MGT TECH,168,NCM,CFSCE,English,Female,Army,Sgt
/QQ9vRGdDgqcZUpq6QxktL7ZHQn+wxweyob/DKVdxLIAAK8/AXjBiw==,Roberto,Babin,NULL,CRMN,5,NCM,RCACS,English,Male,Army,WO
/QvhIzEbNNdwxHxP3RhHWaWY+4UWV6ZD5hBmbY8LCGkAAK8/AXf/dw==,Richard,Sprecher,NULL,IS TECH,394,NCM,CFSCE,French,Male,Army,Pte(B)
/rh5jt5ogRV6FScB80XRlIsWr3UvDlFRk14SvPPHLx0AAK8/AXjBog==,James,Esche,NULL,ARTY,179,Officer,RCA School,English,Male,Army,Capt
/rUjhVk2QHlN3Mj8xlt9PhvsyTKXARY5jtHpnVCfkDwAAK8/AXjBiA==,Laura,Bailey,NULL,INFTR,10,NCM,INF School,French,Male,Army,Pte(B)
/sPkFggkllKxkNiaWyjWgDDC38qNa5SE+/xtZkG/C4YAAK8/AXj7Nw==,Joshua,Perez,NULL,MAT TECH,134,NCM,RCEMES,French,Male,Army,Pte(B)
/sWB9LpRxwLUC6cvuP0Zo5VEdxsj2Kq+4UbZjw8fwX0AAK8/AXf/eQ==,Sharon,Mann,NULL,ATIS TECH,109,NCM,CFSCE,English,Male,Army,Pte(B)
/t8rK1aIUrNFBLNjxXGSkfPREZyiHru7iv5FSdokQL8AAK8/AXiG7w==,Karin,Buchana,NULL,INFTR,10,NCM,INF School,English,Male,Army,WO
/tdt9dhTK0eRZKAkqG7FEFydTa0nODuX2+ji7SUsmJIAAK8/AXjBjw==,Bill,Colon,NULL,CRMN,5,NCM,RCACS,English,Male,Army,Pte(B)
/tEeaf1Cxj4gGZPG0B4/8ojikW0PQmxGsi+SFt96B6cAAK8/AXiG3g==,Rikki,Armstrong,NULL,ED TECH,302,NCM,CFSME,English,Male,Army,Pte(B)
/tRWFRloYg9G+tC5pAJKnRy+XIwcF6uz4cHzjv/bIJMAAK8/AXj7OQ==,Clementine,Lischak,NULL,EO TECH,NULL,NCM,RCEMES,French,Male,Army,Pte(B)
/Um607XAGJFAxTI3UewCBAMprui4MzE2vHnmT4fe6BMAAK8/AXiG5g==,Timothy,Culverhouse,NULL,CBT ENGR,339,NCM,CFSME,English,Male,Air,Pte(B)
/UqK89zqPeEcf0SsA5mwOzOuIsF13qt1iVh2y2bVThkAAK8/AXjBmA==,Don,Maroney,NULL,CRMN,5,NCM,RCACS,English,Male,Army,MWO
/UU+bFOdExMIkqYHA65fjQdMBwm1Y7huzTmFCUxj+qkAAK8/AXjBmg==,Marlena,Hackman,NULL,ARMD,178,Officer,RCACS,English,Male,Army,Capt
/v8YRoTnuO7nP8aaoQM368fBaK4S1P10UaKzqaIahxoAAK8/AXj7OA==,Luther,Gonzalez,NULL,MAT TECH,134,NCM,RCEMES,English,Male,Army,Pte(B)
/vEJpml7UJBU3JXXjeBXVjV6/frHmy08RJ+ft1zrezsAAK8/AXiG8A==,Daniel,Mcgill,NULL,INF,180,Officer,INF School,French,Male,Army,2Lt
/vVfAZseu2bGVnluR4orDLQ79uvCXuusAyN45o0SkOgAAK8/AXj7Ng==,Bertha,Holmes,NULL,VEH TECH,129,NCM,RCEMES,English,Male,Army,Pte(B)
/WsYoCUqDj7jyeOgcE3hobALXfCV+l3gi2hEIh1HML4AAK8/AXiG3g==,Tommy,Aldridge,NULL,RM TECH,301,NCM,CFSME,English,Male,Army,Pte(B)
/WUPutx4QuS00ZGe/8/hZRIpzOQKWLjrh5/PQkjeg1MAAK8/AXiG2w==,John,Chauncey,NULL,CBT ENGR,339,NCM,CFSME,French,Male,Army,MCpl
/XATIp6Lbu2kl/LzCR+m41rZrK54Q/F3Zzs8VxMj+YQAAK8/AXjBiw==,Miranda,Swem,NULL,CRMN,5,NCM,RCACS,French,Male,Army,Pte(B)
/xnGOJwcP4jBUXweosRno9sE+9kAOaua46bwz+TmuioAAK8/AXj7QA==,Patricia,Chacko,NULL,W TECH L,130,NCM,RCEMES,English,Male,Army,MCpl
/Y8DT427Oa+Q1Bki1OywViCZLjiFviWn7D2rmll1cqQAAK8/AXj7Ng==,Robert,West,NULL,VEH TECH,129,NCM,RCEMES,English,Male,Army,Pte(B)
/YN7jjNDLU+zYtAZvakcm1xaPKo3ICMiW+6paXhXGPkAAK8/AXjBiQ==,David,Smith,NULL,ARMD,178,Officer,RCACS,English,Male,Army,2Lt
0/9M6KNr+ClZeMbmGGm/q3LXqFQUoOQPU6XTYnhlR68AAK8/AXf/bQ==,Mckinley,Byington,NULL,SIG OP,383,NCM,CFSCE,English,Male,Air,Pte(B)
00bnclP1EaLyOHCjuIzGjFRJPq+3cHqdumU6oKJJECAAAK8/AXj7QA==,Rosalinda,Calderon,NULL,EO TECH,NULL,NCM,RCEMES,French,Male,Army,Pte(B)
01J/ntIg3ivz1+8S77F3eUmWDs+UK4NI4zBK/ED1rVoAAK8/AXj7OQ==,Brenda,Bridges,NULL,MAT TECH,134,NCM,RCEMES,English,Male,Army,Pte(B)
02323YZruHR5/S0B7+DektDV0JM9xwWZyDOjcvzbM38AAK8/AXj7Ow==,Mary,Kellogg,NULL,VEH TECH,129,NCM,RCEMES,English,Male,Army,Pte(B)
032gX6bOqlmqMzyfW4x+o5FCuWj3KodjOiPlcHOeY9AAAK8/AXf/bA==,Sonja,Peterson,NULL,ATIS TECH,109,NCM,CFSCE,English,Male,Army,Pte(B)
03nOvW3v0Z/UT3STW8ktHTeXIzFVp+kCqxS9bTux+GgAAK8/AXj7PQ==,Brynn,Leslie,NULL,VEH TECH,129,NCM,RCEMES,French,Male,Army,Pte(B)
03uIQoWxuD5DNmLTPF61OJ3sYdbwE7EUlDvHlMnGJE0AAK8/AXf/cA==,Johnathan,Sanders,NULL,SIG OP,383,NCM,CFSCE,English,Male,Army,Sgt
057+RG7cHvQ+stQBS6bBvtSM2MN8Ty/EbBMmeS3h2doAAK8/AXjBow==,Douglas,Smykowski,NULL,GNR,368,NCM,RCA School,English,Male,Army,Pte(B)
06LdWsqIbrj9TkLB6zdwGh9tTcxDlfbR4r8xN1uuha8AAK8/AXiG3g==,Randy,Gilmore,NULL,CBT ENGR,339,NCM,CFSME,English,Male,Army,MCpl
07UziXrdViXUElG2ySetuSWtOGeolgmTkWyxj4h519kAAK8/AXj7Mw==,Gerald,Crutchfield,NULL,ARTY,179,Officer,RCA School,French,Male,Army,2Lt
0A4mefhLEoFuN6vYTHeuSpKfcDFM+jj8DdiScu1srggAAK8/AXj7OA==,Victoria,Fitzgerald,NULL,W TECH L,130,NCM,RCEMES,English,Male,Army,Pte(B)
0AHXvs2cgDHAnwpzhW4lRLo/zKXfc2ekHnoZT8vmNpcAAK8/AXj7Pw==,Sarah,Battles,NULL,VEH TECH,129,NCM,RCEMES,English,Male,Army,Pte(B)
0CizsvJTzlMTm3fz4Cme/J+5sUTp7rQ7Jwr0WptUQlsAAK8/AXj7PA==,Adriana,Mitchell,NULL,EO TECH,NULL,NCM,RCEMES,English,Male,Army,Sgt
0COH4Bz8sbRe9+soJB2tMOd6oRWKLKhxzny7NKGZHq0AAK8/AXjBiQ==,Leon,Turk,NULL,CRMN,5,NCM,RCACS,English,Male,Army,Sgt
0d3qS/EoXT5nl3eKrgKR95X8S7ss8pNI728k6YX+j5oAAK8/AXf/dw==,Christopher,Sharp,NULL,SIG OP,383,NCM,CFSCE,English,Male,Army,MCpl
0dQqxCxuKW1xWJZUaz6boaOPGqPpD7ybelXMQcjqDDYAAK8/AXjBiw==,William,Mendez,NULL,CRMN,5,NCM,RCACS,English,Male,Army,Pte(B)
